date,startup,vertical,subvertical,city,investors,round,amount,year,month,month_year,amount_category,investor_count
2015-07-23,Fitternity,Fitness Marketplace,nan,Mumbai,Exfinity Venture Partners,Private Equity,8.25,2015,7,2015-07,1-10Cr,0
2015-07-23,Quikr,Online & Mobile classified listings,nan,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,495.0,2015,7,2015-07,100-500Cr,3
2015-07-23,JetSetGo,Private Jet/ Helicopter Marketplace,nan,New Delhi,YourWeCan Ventures,Seed,0.0,2015,7,2015-07,,0
2015-07-24,BroEx,Real Estate Broker network App,nan,Gurgaon,Lightspeed India,Private Equity,8.25,2015,7,2015-07,1-10Cr,0
2015-07-25,Shopatplaces,Ethnic/ Traditional Fashion Store,nan,New Delhi,Indian Angel Network,Seed,0.0,2015,7,2015-07,,0
2015-07-25,CredR,Used Bikes Marketplace,nan,Mumbai,Fidelity Growth Partners,Private Equity,123.75,2015,7,2015-07,100-500Cr,0
2015-07-27,ManageMySpa,Spa & Salon Management Software,nan,Hyderabad,Accel Partners,Private Equity,49.5,2015,7,2015-07,10-50Cr,0
2015-07-27,Townrush,B2B logistics delivery platform,nan,Bangalore,Lightspeed Venture Partners,Seed,0.0,2015,7,2015-07,,0
2015-07-27,Locus,Logistics Automation Platform,nan,Bangalore,"growX ventures,\\xc2\\xa0 Manish Singhal",Seed,0.0,2015,7,2015-07,,2
2015-07-27,Bevy,Online Hiring Platform,nan,Bangalore,Varun Agarwal & Others,Seed,0.0,2015,7,2015-07,,0
2015-07-28,Pepperfry,Online home d\\xc3\\xa9cor marketplace,nan,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,825.0,2015,7,2015-07,>500Cr,3
2015-07-28,Opinio,Hyperlocal food & grocery store,nan,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed,10.725,2015,7,2015-07,10-50Cr,2
